scan_id,timestamp,duration_seconds,symbols_scanned,signals_found,success_rate,mtf_enabled,primary_timeframe,confirmation_timeframes,charts_generated,csv_files_updated,system_memory_usage_mb,cpu_usage_percent,errors_encountered
20250718_201646,2025-07-18 20:16:46,288.0554893016815,223,4,1.7937219730941705,True,15m,"1h, 4h",4,"enhanced_bybit_signals_mtf_signals.csv, enhanced_bybit_signals_mtf_opportunities.csv, enhanced_bybit_signals_mtf_market_summary.csv, enhanced_bybit_signals_mtf_scan_history.csv, enhanced_bybit_signals_mtf_performance.csv",16.4,7.8,0
20250721_092017,2025-07-21 09:20:17,189.24045968055725,210,1,0.4761904761904762,True,15m,"1h, 4h",1,"enhanced_bybit_signals_mtf_signals.csv, enhanced_bybit_signals_mtf_opportunities.csv, enhanced_bybit_signals_mtf_market_summary.csv, enhanced_bybit_signals_mtf_scan_history.csv, enhanced_bybit_signals_mtf_performance.csv",15.9,7.5,0
20250721_092449,2025-07-21 09:24:49,217.33751273155212,210,1,0.4761904761904762,True,15m,"1h, 4h",1,"enhanced_bybit_signals_mtf_signals.csv, enhanced_bybit_signals_mtf_opportunities.csv, enhanced_bybit_signals_mtf_market_summary.csv, enhanced_bybit_signals_mtf_scan_history.csv, enhanced_bybit_signals_mtf_performance.csv",16.8,10.4,0
